Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Mar
2005",343219,72.4,52433,337003,71.6
"Apr
2005",343627,72.4,52936,342200,72.2
"May
2005",344144,72.5,53121,346851,72.8
"Jun
2005",344643,72.5,52832,351874,74.3
"Jul
2005",345038,72.6,52751,353189,74.1
"Aug
2005",345323,72.6,52753,352523,73.8
"Sep
2005",345520,72.6,53781,347854,72.7
"Oct
2005",345720,72.5,54310,348713,72.6
"Nov
2005",346030,72.5,54038,343135,71.8
"Dec
2005",346528,72.6,53438,341723,71.5
"Jan
2006",347249,72.7,52580,338566,71.4
"Feb
2006",348085,72.8,53113,340829,72.0
"Mar
2006",348880,73.0,53195,343514,72.4
"Apr
2006",349549,73.1,53363,347977,72.9
"May
2006",350121,73.2,53341,353369,73.6
"Jun
2006",350670,73.3,53109,357949,75.0
"Jul
2006",351322,73.4,52959,358704,74.9
"Aug
2006",352156,73.6,53110,358745,74.8
"Sep
2006",353145,73.8,55062,355514,73.7
"Oct
2006",354220,73.9,55385,357287,74.0
"Nov
2006",355207,74.1,54918,352757,73.5
"Dec
2006",355898,74.2,54718,351707,73.3
"Jan
2007",356225,74.2,53564,347582,73.0
"Feb
2007",356305,74.2,54009,348937,73.2
"Mar
2007",356219,74.2,54212,351246,73.6
"Apr
2007",356032,74.1,53941,353097,73.6
"May
2007",355846,74.1,54139,358646,74.3
"Jun
2007",355769,74.0,54054,364086,76.0
"Jul
2007",355826,74.0,53938,364585,75.7
"Aug
2007",356046,74.0,53187,361256,74.9
"Sep
2007",356480,74.1,54734,359293,74.3
"Oct
2007",357073,74.2,55154,359677,74.1
"Nov
2007",357796,74.2,54977,355838,73.5
"Dec
2007",358627,74.3,54339,352959,73.3
"Jan
2008",359404,74.4,54137,351706,73.4
"Feb
2008",360026,74.5,53667,352344,73.4
"Mar
2008",360494,74.5,53813,354524,73.8
"Apr
2008",360812,74.6,54196,359592,74.3
"May
2008",360972,74.7,53920,363956,75.0
"Jun
2008",361028,74.7,53184,368572,76.5
"Jul
2008",361053,74.7,53583,369628,76.4
"Aug
2008",361008,74.7,52839,366814,75.8
"Sep
2008",360773,74.6,54209,363288,74.7
"Oct
2008",360295,74.5,54887,363403,74.4
"Nov
2008",359493,74.3,54530,357712,73.5
"Dec
2008",358367,74.2,53630,353807,73.0
"Jan
2009",357087,74.0,52479,347733,72.9
"Feb
2009",355913,73.8,52374,348528,73.1
"Mar
2009",355112,73.7,52272,348756,72.9
"Apr
2009",354854,73.6,52586,352720,73.1
"May
2009",355043,73.5,52859,358127,73.9
"Jun
2009",355453,73.5,52533,363748,75.4
"Jul
2009",355821,73.5,52298,364614,75.1
"Aug
2009",356001,73.4,51808,362672,74.7
"Sep
2009",356037,73.4,53180,359090,73.5
"Oct
2009",356015,73.3,53732,358043,73.1
"Nov
2009",356229,73.3,53441,354039,72.5
"Dec
2009",356990,73.4,52830,350758,72.1
"Jan
2010",358345,73.6,51739,349587,72.4
"Feb
2010",360056,73.9,52197,352251,72.9
"Mar
2010",361821,74.1,52471,355082,73.4
